"ad_id","category","familiarity","emotion_1","emotion_2","emotion_3","emotion_4"
"IM_MBPxNkGl9cPGKXW","gambling",2.87709497206704,3.38268156424581,3.46368715083799,3.27932960893855,3.09497206703911
"IM_PiIV1BfTkihbhP2","gambling",3.17441860465116,3.33720930232558,3.46220930232558,3.23546511627907,3.13662790697674
"IM_N2JyWGtHtdZG4QR","gambling",3.17403314917127,3.44475138121547,3.56906077348066,3.40055248618785,3.12430939226519
"IM_kIzQvZPkFfQYHfm","gambling",2.70637119113573,3.3601108033241,3.37396121883656,3.2382271468144,3.13850415512465
"IM_ZQOEGr7zUABjZJq","gambling",2.67297297297297,3.30540540540541,3.34324324324324,3.27837837837838,3.07567567567568
"IM_ocowjjavCUFCYjg","gambling",3.11173184357542,3.38826815642458,3.5391061452514,3.3268156424581,3.13687150837989
"IM_yiebcF4N8lYXAJn","gambling",2.58166189111748,3.2865329512894,3.32951289398281,3.18338108882522,3.05444126074498
"IM_rFfgY9hGNOsC176","gambling",2.74277456647399,3.34971098265896,3.43352601156069,3.27456647398844,3.09537572254335
"IM_m69kUOhHLY8WxqO","gambling",3.30890052356021,3.61256544502618,3.6544502617801,3.46335078534031,3.19371727748691
"IM_cgTLl7Uptz48KAh","gambling",3.02432432432432,3.40540540540541,3.49189189189189,3.25945945945946,3.12702702702703
"IM_Y5Zu49RNQGYqFOD","gambling",2.95808383233533,3.47305389221557,3.5748502994012,3.34431137724551,3.19461077844311
"IM_uamVNh054UCbnne","gambling",2.77747989276139,3.40482573726542,3.52815013404826,3.29222520107239,3.01340482573727
"IM_d7YrB6dlC841riB","gambling",2.68067226890756,3.2436974789916,3.35014005602241,3.1624649859944,2.95798319327731
"IM_aOmW5ICI2h7aRdB","gambling",2.61846153846154,3.32923076923077,3.41538461538462,3.20307692307692,3.09230769230769
"IM_Ryie5RMjcEWxKWF","gambling",2.75988700564972,3.32768361581921,3.45762711864407,3.24858757062147,3.10169491525424
"IM_i88l4ktatPMdnGz","gambling",2.74397590361446,3.33132530120482,3.4578313253012,3.31626506024096,3.13855421686747
"IM_nzgR44xdmNZKDeg","gambling",3.1140350877193,3.44444444444444,3.50584795321637,3.3421052631579,3.10233918128655
"IM_DOuyi0PKOLKN1tQ","gambling",2.76,3.312,3.43733333333333,3.23466666666667,2.97333333333333
"IM_RKy3VCnZVcNnezY","gambling",3,3.48022598870057,3.51412429378531,3.35310734463277,3.0819209039548
"IM_QX79JGo1ohPsJjN","gambling",2.65732087227414,3.25545171339564,3.31775700934579,3.13084112149533,2.8785046728972
"IM_dKYVMJpZhWuLIlK","gambling",2.51820728291316,3.3781512605042,3.49859943977591,3.29411764705882,3.0140056022409
"IM_A7N9Bccr2ISH99A","gambling",2.94915254237288,3.63559322033898,3.7316384180791,3.55932203389831,3.21751412429379
"IM_cVa3jqunzm6G5Wf","gambling",2.73563218390805,3.51149425287356,3.57758620689655,3.39080459770115,3.09770114942529
"IM_Bd6ZuzL00Rlvp9e","gambling",2.54847645429363,3.36288088642659,3.44598337950139,3.21606648199446,2.94736842105263
"IM_spXFox2ax2Pdg4x","gambling",2.47191011235955,3.35955056179775,3.38483146067416,3.30337078651685,3.01966292134831
"IM_650Vn6ytCwvZhmU","gambling",2.93352601156069,3.39884393063584,3.55202312138728,3.40173410404624,3.20231213872832
"IM_INGgd7e3cLTMLu1","gambling",2.62322946175637,3.38810198300283,3.4957507082153,3.32294617563739,3.11048158640227
"IM_BVf80T1mHfvN9by","gambling",2.68364611260054,3.33512064343164,3.51474530831099,3.3029490616622,3.0455764075067
