"ResponseId","spsrq_matrix_1","spsrq_matrix_2","spsrq_matrix_3","spsrq_matrix_4","spsrq_matrix_5","spsrq_matrix_6","spsrq_matrix_7","spsrq_matrix_8","spsrq_matrix_9","spsrq_matrix_10","spsrq_matrix_11","spsrq_matrix_12","spsrq_matrix_13","spsrq_matrix_14","spsrq_matrix_15","spsrq_matrix_16","spsrq_matrix_17","spsrq_matrix_18","spsrq_matrix_19","spsrq_matrix_20","spsrq_sr","spsrq_sp"
"R_32nTc41frgcVM61",3,1,1,1,5,1,3,3,3,3,3,1,3,1,1,1,1,1,1,1,14,24
"R_3q2xC423oLHuOLB",3,3,1,4,3,3,3,2,1,2,1,2,1,3,3,1,3,1,1,1,22,20
"R_78ICdKcMczkIj2l",4,1,3,3,4,1,2,3,2,4,4,3,2,2,1,2,2,1,1,1,21,25
"R_6K8zf1Le39U5UCv",5,1,1,1,4,1,1,1,1,3,1,4,1,1,1,1,1,1,2,1,15,18
"R_12KupiIBwBAiAlT",5,3,2,3,4,3,4,3,3,4,4,2,3,5,1,3,3,2,3,2,30,32
"R_7itB7zhRgpKX78t",2,1,2,4,4,1,3,2,3,3,4,4,2,2,2,2,2,2,4,2,23,28
"R_7aryV0zJJHMF7D1",3,2,2,3,2,1,2,1,2,3,3,2,1,1,1,1,2,2,3,1,17,21
"R_1axWcYgeIg0SLXn",5,1,5,5,1,1,1,1,1,5,5,5,1,1,1,1,1,5,1,1,26,22
"R_7NS6K0ckKzR33xL",5,3,4,2,1,3,2,1,2,4,1,1,1,1,1,1,1,3,1,1,20,19
"R_3ab2B3gcURS6JBa",4,1,1,3,3,3,4,3,3,3,2,3,2,2,2,2,2,3,3,3,26,26
"R_3e7h3H9CmPZFAm5",1,1,1,1,1,3,3,1,1,3,1,5,1,1,1,4,1,3,3,3,25,14
"R_36RZgx00aPw0jBL",4,1,2,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,2,1,13,19
"R_5I6mQYvdnxvmCHL",4,1,2,4,4,3,3,1,4,3,4,2,4,2,2,2,3,3,4,1,22,34
"R_138L3WxYejGK0Kt",3,2,2,3,2,2,2,2,3,4,3,4,1,3,1,1,1,2,1,1,24,19
"R_7YG545zyuAwH2pz",2,1,1,1,3,3,3,3,1,2,2,1,2,1,1,2,1,1,2,1,16,18
"R_5zSejDVfxYjUQrF",5,1,3,4,5,1,4,3,5,5,5,2,5,3,5,1,5,5,5,1,26,47
"R_50leIBHtgptrTbI",3,1,3,4,5,2,2,1,3,3,3,2,3,2,2,1,2,1,3,1,18,29
"R_5lACVPPM014Wmwd",3,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,1,12,16
"R_3GnrbByp0pONqKd",3,1,3,1,4,1,2,2,3,3,3,1,2,2,3,1,3,1,3,1,14,29
"R_64jC50kf2fwXiOA",2,1,3,3,4,1,2,3,2,3,2,1,1,2,1,1,2,2,2,2,19,21
"R_6wjeDONWdHCNJ0q",3,1,3,3,4,1,3,2,2,3,3,3,2,2,2,2,2,1,2,3,21,26
"R_3fk0NLdiIxzKrcD",1,1,2,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,14,11
"R_3NeikfJMuZEEHQJ",1,1,1,1,4,3,1,4,1,4,1,4,1,1,1,1,1,4,1,1,24,13
"R_5ClKVwFWaPfnpqH",1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,10
"R_7471xG7AkXS7wBv",1,3,1,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,18,10
"R_7JJdmquPgws7SFI",3,2,3,2,3,2,3,3,3,3,2,3,2,2,2,2,2,3,2,3,25,25
"R_5Bqu98WSa3SSJW1",4,1,4,3,5,1,2,1,4,3,4,1,3,2,1,1,3,3,4,1,17,34
"R_531awRduDvVkAjg",1,1,1,3,3,1,2,1,1,2,1,3,1,2,1,1,1,1,1,1,16,13
"R_3I6PL2Bnd5m6YEX",1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,15,10
"R_6SicG1vZUCP2r9B",3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,14
"R_7QKtauf23FclmZj",2,1,4,1,2,1,3,1,2,3,1,1,1,2,1,1,1,1,3,1,13,20
"R_6TZYbwLG4nocXUB",1,1,3,3,5,1,5,5,1,3,5,3,1,1,1,1,3,1,1,1,20,26
"R_1g1vgz3QFgAhwQQ",2,1,2,3,4,1,2,1,2,3,3,1,2,1,1,1,2,1,3,1,14,23
"R_11Xp6WTjpIMr4S5",2,2,2,2,2,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,21,20
"R_1PaFNv9vDENJGNE",2,1,2,3,2,1,1,1,1,3,2,1,1,1,2,1,1,2,1,1,15,15
"R_6T1wQD1rmx6N3QR",5,1,5,3,5,1,3,1,5,3,5,1,5,5,1,1,3,5,5,1,22,42
"R_5qfOcAw70W5DkiD",4,1,4,3,4,1,4,1,5,3,4,3,3,3,4,2,4,3,4,1,21,40
"R_5uU0dvwVvNPHJte",4,3,2,3,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,18,15
"R_3sFBnxQPk46qH9D",3,4,4,2,4,3,4,3,5,3,4,4,4,2,3,4,3,3,3,3,31,37
"R_6CHWDVch8w52adB",1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,14,10
"R_1xUhPp3zey4FFG9",3,1,2,3,4,1,1,1,3,1,1,4,1,3,1,1,1,1,1,1,17,18
"R_5rYdDWufu9FV5mQ",1,2,1,3,4,1,3,2,2,3,2,1,2,3,2,1,2,3,2,1,20,21
"R_7hDBH7TkCn3yCFe",3,1,3,1,4,1,4,1,4,2,3,1,1,4,1,1,2,3,1,1,16,26
"R_7qDzfEBhnDwkUJ8",5,2,2,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,17,17
"R_1eb1NSTKnLSHOX0",1,3,3,3,3,1,1,1,2,4,1,4,1,3,1,4,1,4,2,1,28,16
"R_3VDu1BK5ATfisr8",2,1,1,2,3,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,15,16
"R_5dEluXxdZDk3643",4,1,2,2,4,2,2,1,4,2,2,1,1,1,1,1,4,1,4,1,13,28
"R_5pJspTFI2ecHa13",3,2,3,3,3,1,4,4,4,2,2,2,2,2,2,1,2,2,2,2,21,27
"R_5jq8Mn5ZFB4D9Ch",3,1,3,1,4,1,3,1,1,3,1,1,3,2,1,1,3,1,1,1,13,23
"R_7TcDCk78NjtuyhH",4,1,3,2,4,2,3,1,4,4,2,3,3,3,3,3,2,3,4,2,24,32
"R_7y2UeJqv33Elk96",4,4,3,4,1,3,1,1,1,3,1,3,1,2,1,1,1,2,1,1,24,15
"R_7ukudufgKJgWcOR",1,1,3,1,4,1,4,1,1,4,3,3,4,3,4,1,3,4,5,1,20,32
"R_1K8No2eE39sJWrD",4,1,3,1,2,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,12,20
"R_1DCD2E8uJt0KgNn",2,1,2,1,2,1,2,2,4,3,1,4,2,2,2,2,2,2,2,1,19,21
"R_7gT8lbNyAzSepeV",3,1,1,1,5,1,5,3,3,1,4,1,1,1,1,1,1,1,1,1,12,25
"R_1IbzQcUIZ4M9Lqh",2,2,2,3,3,1,2,2,2,3,2,2,2,2,1,2,2,2,2,2,21,20
"R_6Mm1oqYQmmdp9lp",5,3,3,4,5,5,4,3,5,4,3,5,4,3,3,4,5,4,5,3,38,42
"R_7smWVJpQ51w4vBv",4,2,3,3,4,2,3,2,4,3,2,2,2,3,2,2,3,2,4,2,23,31
"R_3Eh3FTlsiu0yIEj",3,2,3,3,1,1,2,1,4,3,2,2,2,3,3,2,2,3,2,2,22,24
"R_11Ql7h4eSbog1D9",1,3,2,3,5,3,4,3,2,4,1,4,3,4,1,1,3,3,4,3,31,26
"R_5O1djSg5wX2ZTeE",3,2,2,2,2,2,2,2,4,3,4,2,2,3,4,2,2,2,2,1,21,27
"R_3VD59h7RqZYqask",2,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,24,22
"R_6kcwU8P0KpikFoh",2,1,3,1,5,3,2,1,4,2,2,3,1,1,1,1,1,1,1,1,15,22
"R_3WVHRGB2jzC0S41",4,1,4,4,3,1,4,3,5,3,4,1,3,1,3,1,4,1,4,1,17,38
"R_5mPnRERrrGDSR6Y",3,3,1,2,1,2,2,2,1,3,1,2,1,2,2,1,1,3,1,1,21,14
"R_6NQdgYBqdshoh00",4,1,2,2,5,1,3,1,3,4,4,3,4,4,2,1,3,3,4,1,21,34
