"ResponseId","bisbas_matrix_1","bisbas_matrix_2","bisbas_matrix_3","bisbas_matrix_4","bisbas_matrix_5","bisbas_matrix_6","bisbas_matrix_7","bisbas_matrix_8","bisbas_matrix_9","bisbas_matrix_10","bisbas_matrix_11","bisbas_matrix_12","bisbas_matrix_13","bisbas_matrix_14","bisbas_matrix_15","bisbas_matrix_16","bisbas_matrix_17","bisbas_matrix_18","bisbas_matrix_19","bisbas_matrix_20","bisbas_reward_res","bisbas_drive","bisbas_fun_seek","bisbas_bis"
"R_5U6UiKL17Q36uhX",1,2,2,2,1,3,1,3,3,3,3,3,3,3,3,2,3,3,3,2,13,12,12,12
"R_3ISquNyz1s1qspR",1,2,2,1,0,3,0,4,3,3,3,3,3,3,2,3,3,3,3,3,15,13,11,9
"R_7g1MtgrksD2Vb4j",2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,15,7,4,15
"R_32nTc41frgcVM61",1,1,3,3,2,3,2,1,1,1,1,1,1,1,1,3,3,3,3,2,14,4,4,15
"R_3q2xC423oLHuOLB",2,2,3,2,1,3,2,2,2,2,2,1,1,1,1,3,3,3,3,2,14,8,4,15
"R_78ICdKcMczkIj2l",3,3,2,4,2,3,2,2,2,2,2,4,2,3,3,3,4,4,4,4,19,8,12,19
"R_6K8zf1Le39U5UCv",2,4,3,3,2,3,2,3,1,1,2,1,1,1,1,4,3,4,4,3,18,7,4,19
"R_12KupiIBwBAiAlT",3,3,1,2,1,3,1,3,4,3,2,3,2,2,3,3,3,3,3,3,15,12,10,14
"R_7itB7zhRgpKX78t",1,3,3,3,2,3,1,2,3,3,2,4,3,3,2,3,3,2,3,3,14,10,12,16
"R_7aryV0zJJHMF7D1",2,3,1,2,1,3,1,3,3,3,2,3,3,3,2,4,3,4,3,3,17,11,11,13
"R_1axWcYgeIg0SLXn",4,4,4,4,3,4,3,4,4,4,4,1,4,4,1,4,4,4,4,4,20,16,10,26
"R_7NS6K0ckKzR33xL",1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,18,12,12,17
"R_3ab2B3gcURS6JBa",2,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,3,3,2,2,13,8,8,13
"R_3e7h3H9CmPZFAm5",3,3,3,3,1,3,1,3,2,3,3,3,3,3,2,3,3,3,3,3,15,11,11,17
"R_36RZgx00aPw0jBL",3,2,3,3,2,3,2,3,3,3,3,2,1,2,1,3,2,2,3,3,13,12,6,18
"R_5I6mQYvdnxvmCHL",3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,3,3,3,3,3,15,9,8,20
"R_138L3WxYejGK0Kt",2,2,3,3,2,3,2,3,3,2,2,3,2,3,2,3,3,4,3,4,17,10,10,17
"R_7YG545zyuAwH2pz",2,3,2,3,2,3,1,2,2,2,2,3,3,3,2,3,3,3,3,3,15,8,11,16
"R_5zSejDVfxYjUQrF",4,4,4,4,3,4,3,2,2,2,2,1,1,1,1,3,3,3,3,2,14,8,4,26
"R_50leIBHtgptrTbI",2,3,3,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,14,11,11,18
