ID,ResponseId,demo_zip_p,GEO_ID,NAME,TravTmCas,TravMiCas,TenMiCas,ADINat,ADIState,SVI_SES,Gini,poverty,unemployed,bachelors,tenure,homeowner,white_p,black_p,native_p,pacific_p,hispanic_p,other_p,white_n,black_n,native_n,pacific_n,hispanic_n,other_n,TenMiMHT,TravTmGDT,TravMiGDT,TenMiRel,TenMiRelC,ec_zip,clust_zip,s_ratio,volun_rate,civic_org,TotalCrime,ViolCrime
955,R_1qCWv1qlEmbuDLo,94103,860Z200US94103,ZCTA5 94103,3.381961656,0.605212973,5,5,3,0.6610,0.5324,19.04231626,6.455735249,55.88755856,77.09197787,19.23121254,35.53275265,9.888438134,2.38336714,0.551843455,20.00059659,9.703496003,11912,3315,799,185,6705,3253,38,4.087045308,0.689148859,237,130,1.35501,0.076559998,0.68212003,0.082099997,0.021330001,370,307
149,R_3gRbotitIRcBM7b,15557,860Z200US15557,ZCTA5 15557,41.61088732,30.2428198,0,73,7,0.5437,0.3899,10.61320755,6.870669746,17.5010175,95.91240876,82.48175182,97.11370262,0.204081633,0.670553936,0.029154519,1.049562682,0.087463557,3331,7,23,1,36,3,4,11.56810956,8.311736931,10,7,0.86848003,0.13694,0.99177003,0.14393,0.02134,39,24
18,R_7kcQizqGgcWrDgJ,02360,860Z200US02360,ZCTA5 02360,48.07197415,35.39489468,0,26,7,0.3166,0.43,6.113923429,5.980076011,45.18153483,91.99132523,79.76144373,89.18035414,1.200224341,0.21632882,0.097748578,3.475683038,2.764201586,55653,749,135,61,2169,1725,3,-999,-999,49,30,1.15818,0.10687,0.98026001,0.081430003,0.021360001,42,51
971,R_7kG3WFkHGrSbhqN,95014,860Z200US95014,ZCTA5 95014,10.79074653,6.822755403,5,1,1,0.0499,0.4503,4.190601597,3.37086006,82.95910851,86.13387978,59.43078324,22.09985436,0.990034201,0.358376017,0.301101311,2.947192721,0.893485411,13505,605,219,184,1801,546,18,8.200419167,2.984885198,428,231,1.58811,0.10137,0.90404999,0.05951,0.02141,63,29
543,R_3KljfxutjygJ3AR,48601,860Z200US48601,ZCTA5 48601,45.23338586,47.68524035,0,100,10,0.9072,0.4472,31.7165819,11.35374764,8.41716184,94.7525121,66.08113137,31.31372977,60.92488073,0.505160747,0,11.6685896,2.139137485,10042,19538,162,0,3742,686,8,9.440022306,3.985970245,149,105,0.46042001,0.13697,0.99645001,0.052450001,0.02142,106,139
544,R_5MbZihlyeCN4Qh1,48601,860Z200US48601,ZCTA5 48601,45.23338586,47.68524035,0,100,10,0.9072,0.4472,31.7165819,11.35374764,8.41716184,94.7525121,66.08113137,31.31372977,60.92488073,0.505160747,0,11.6685896,2.139137485,10042,19538,162,0,3742,686,8,9.440022306,3.985970245,149,105,0.46042001,0.13697,0.99645001,0.052450001,0.02142,106,139
332,R_6dGknuFTemF90Vf,32548,860Z200US32548,ZCTA5 32548,-999,-999,0,70,8,0.7530,0.4392,14.78313989,4.167696236,30.91827637,88.69212505,57.32093391,65.86668965,12.02550735,0.361928562,0.542892843,12.65888233,6.381145245,15287,2791,84,126,2938,1481,4,-999,-999,65,43,0.76727003,0.08529,0.94383001,0.046330001,0.021430001,107,83
502,R_3kiEnofq1ydilqd,46202,860Z200US46202,ZCTA5 46202,9.33746204,4.470151391,1,36,1,0.7931,0.5375,23.29600517,5.359447354,62.34138973,75.43002162,28.79969922,64.1385077,20.38266686,0.550882888,0.049185972,7.658255865,3.241355565,13040,4144,112,10,1557,659,47,-999,-999,203,121,0.81015003,0.09285,0.79857999,0.087559998,0.02149,367,442
151,R_1ZpdzuFb6nfizmN,15601,860Z200US15601,ZCTA5 15601,35.25676253,24.71111923,0,68,6,0.2582,0.4405,8.63767122,4.168565719,39.68277102,92.47931503,74.17774668,92.88665349,2.324411712,0.062870487,0.023351895,1.66696605,0.305370936,51710,1294,35,13,928,170,14,-999,-999,147,97,0.97263002,0.10214,0.96973002,0.083049998,0.02155,65,58
150,R_7XtEGFXxOJgoM93,15601,860Z200US15601,ZCTA5 15601,35.25676253,24.71111923,0,68,6,0.2582,0.4405,8.63767122,4.168565719,39.68277102,92.47931503,74.17774668,92.88665349,2.324411712,0.062870487,0.023351895,1.66696605,0.305370936,51710,1294,35,13,928,170,14,-999,-999,147,97,0.97263002,0.10214,0.96973002,0.083049998,0.02155,65,58
